Designator,Mid X,Mid Y,Rotation,Layer
C1,176.784,-63.246,270.0,top
C2,190.373,-69.85,270.0,top
C3,155.194,-64.516,90.0,top
C4,155.194,-68.834,270.0,top
C5,165.1,-72.136,0.0,top
C6,179.324,-51.308,90.0,top
C7,179.324,-60.4305,90.0,top
D1,155.829,-57.912,180.0,top
D2,155.829,-54.522,180.0,top
D3,155.829,-51.132,180.0,top
F1,178.3445,-69.85,180.0,top
J1,159.258,-56.388,270.0,bottom
J2,176.276,-74.696,0.0,top
J3,169.856,-47.859,180.0,top
J4,187.452,-53.34,270.0,top
J5,187.452,-62.4625,270.0,top
Q1,169.545,-59.436,0.0,bottom
Q2,169.164,-51.308,270.0,bottom
R1,168.656,-62.738,0.0,bottom
R10,181.864,-62.4625,90.0,top
R11,174.625,-58.547,180.0,bottom
R12,174.625,-55.499,0.0,bottom
R2,161.052,-57.912,0.0,top
R3,161.036,-54.864,0.0,top
R4,161.036,-51.816,0.0,top
R5,183.896,-69.596,90.0,top
R6,179.324,-64.77,270.0,top
R7,179.324,-55.88,270.0,top
R8,169.164,-55.499,0.0,bottom
R9,181.864,-53.34,90.0,top
U2,169.418,-60.7275,270.0,top
U3,164.592,-76.962,180.0,top
U4,187.452,-69.596,90.0,top
Y1,159.258,-66.548,270.0,top
